RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           99     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     5.027D-01  2.329D+00
    1    2     1     0  ---    0  9.6D-01  1.0D+00  3.677D-01  1.425D+00
    2    4     0     0  con    1  2.8D-01  8.7D-01  6.469D-02  1.061D+00
    3    5     0     0  con    0  1.0D+00  2.2D-01  4.861D-02  1.037D+00
    4    7     0     0  con    1  1.9D-01  9.4D-02  6.996D-02  1.028D+00
    5    8     0     0  con    0  1.0D+00  5.7D-01  3.988D-01  9.998D-01
    6   12     0     0  con    3  5.6D-02  1.3D-01  9.037D-01  9.889D-01
    7   13     0     0  con    0  1.0D+00  1.6D-01  5.402D+00  9.817D-01
    8   18     0     0  con    4  6.4D-04  9.0D-03  5.223D+00  9.813D-01
    9   20     0     0  con    1  3.2D-01  3.9D-02  1.553D+00  9.768D-01
   10   21     0     0  con    0  1.0D+00  1.4D-01  6.930D-01  9.712D-01
   11   22     0     0  con    0  1.0D+00  3.3D-02  5.622D-02  9.694D-01
   12   23     0     0  con    0  1.0D+00  4.9D-02  2.853D-01  9.684D-01
   13   24     0     0  con    0  1.0D+00  2.1D-02  5.827D-01  9.676D-01
   14   25     0     0  con    0  1.0D+00  4.9D-02  5.108D-01  9.658D-01
   15   26     0     0  con    0  1.0D+00  1.1D-01  4.540D-01  9.628D-01
   16   27     0     0  con    0  1.0D+00  1.7D-01  4.875D-01  9.592D-01
   17   28     0     0  con    0  1.0D+00  5.0D-01  5.366D+00  9.531D-01
   18   29     0     0  con    0  1.0D+00  2.7D-01  8.386D-01  9.474D-01
   19   30     0     0  con    0  1.0D+00  3.2D-01  1.992D-01  9.434D-01
   20   31     0     0  con    0  1.0D+00  4.4D-01  4.867D-01  9.402D-01
   21   32     0     0  con    0  1.0D+00  4.2D-01  4.249D-01  9.392D-01
   22   34     0     0  con    1  1.6D-02  1.7D-01  1.557D+00  9.388D-01
   23   35     0     0  con    0  1.0D+00  8.0D-01  9.125D-01  9.370D-01
   24   36     0     0  con    0  1.0D+00  4.8D-01  2.676D+00  9.362D-01
   25   38     0     0  con    1  4.6D-01  3.8D-01  5.588D+00  9.355D-01
   26   40     0     0  con    1  4.1D-01  1.0D+00  3.840D+00  9.337D-01
   27   41     0     0  con    0  1.0D+00  2.4D-01  4.129D+00  9.336D-01
   28   42     0     0  con    0  1.0D+00  1.9D-01  1.006D+00  9.331D-01
   29   43     0     0  con    0  1.0D+00  9.7D-02  6.193D-01  9.330D-01
   30   44     0     0  con    0  1.0D+00  6.2D-02  2.118D-01  9.330D-01
   31   45     0     0  con    0  1.0D+00  1.1D-02  8.049D-02  9.330D-01
   32   46     0     0  con    0  1.0D+00  4.5D-03  9.565D-02  9.330D-01
   33   47     0     0  con    0  1.0D+00  2.3D-02  8.357D-02  9.330D-01
   34   48     0     0  con    0  1.0D+00  2.2D-02  2.073D-01  9.330D-01
   35   49     0     0  con    0  1.0D+00  2.9D-02  2.195D-01  9.329D-01
   36   51     0     0  con    1  1.3D-01  1.9D-02  3.371D-01  9.329D-01
   37   52     0     0  con    0  1.0D+00  3.3D-02  3.532D-01  9.329D-01
   38   54     0     0  con    1  1.4D-02  3.1D-02  8.043D-01  9.329D-01
   39   55     0     0  con    0  1.0D+00  3.6D-02  5.025D-01  9.328D-01
   40   56     0     0  con    0  1.0D+00  6.5D-02  1.308D+00  9.327D-01
   41   57     0     0  con    0  1.0D+00  1.4D-01  1.701D+00  9.324D-01
